Date,Total_Value,Cash_Accumulated
2015-09-16,7227.272924900055,8000
2015-09-17,7247.188109397888,8000
2015-09-18,6940.638176441193,8000
2015-09-21,6999.673141956329,8000
2015-09-22,6690.989817142487,8000
2015-09-23,6701.658404350281,8000
2015-09-24,6624.133500099182,8000
2015-09-25,6463.3904411792755,8000
2015-09-28,5906.481560945511,8000
2015-09-29,5818.997843503952,8000
2015-09-30,7203.784489631653,9000
2015-10-01,7304.535469532013,9000
2015-10-02,7683.5931396484375,9000
2015-10-05,8033.747556686401,9000
2015-10-06,7918.955828666687,9000
2015-10-07,8046.134867668152,9000
2015-10-08,8144.408290863037,9000
2015-10-09,8243.507723808289,9000
2015-10-12,8312.878366470337,9000
2015-10-13,8150.189414024353,9000
2015-10-14,8115.504565238953,9000
2015-10-15,8511.904187202454,9000
2015-10-16,8617.610753059387,9000
2015-10-19,8772.042443275452,9000
2015-10-20,8626.694025039673,9000
2015-10-21,8487.953684806824,9000
2015-10-22,8990.886827468872,9000
2015-10-23,9738.266876220703,9000
2015-10-26,9767.170601844788,9000
2015-10-27,9830.759176254272,9000
2015-10-28,10058.688722610474,9000
2015-10-29,10021.526789665222,9000
2015-10-30,10884.439414024353,10000
2015-11-02,11255.549580574036,10000
2015-11-03,11362.879400730133,10000
2015-11-04,11367.428288936615,10000
2015-11-05,11267.372526168823,10000
2015-11-06,11304.667163848877,10000
2015-11-09,10940.833136558533,10000
2015-11-10,10863.517651081085,10000
2015-11-11,10815.310886383057,10000
2015-11-12,10501.50422000885,10000
2015-11-13,9883.896359443665,10000
2015-11-16,10295.938192367554,10000
2015-11-17,10331.411192893982,10000
2015-11-18,10923.55048418045,10000
2015-11-19,10939.92231798172,10000
2015-11-20,11157.314414024353,10000
2015-11-23,11067.266205310822,10000
2015-11-24,11032.69985961914,10000
2015-11-25,11057.258651256561,10000
2015-11-27,11097.282621860504,10000
2015-11-30,12027.243275642395,11000
2015-12-01,12384.392367362976,11000
2015-12-02,12159.190162181854,11000
2015-12-03,11539.137321949005,11000
2015-12-04,12331.813207149506,11000
2015-12-07,12181.017251968384,11000
2015-12-08,12182.007276535034,11000
2015-12-09,11614.537002563477,11000
2015-12-10,11779.223956108093,11000
2015-12-11,10971.667047977448,11000
2015-12-14,11217.702912330627,11000
2015-12-15,11408.182730674744,11000
2015-12-16,11912.162002563477,11000
2015-12-17,11416.121092796326,11000
2015-12-18,10789.122185707092,11000
2015-12-21,10819.862114906311,11000
2015-12-22,10916.722893714905,11000
2015-12-23,11046.642327308655,11000
2015-12-24,11027.502221107483,11000
2015-12-28,11003.722893714905,11000
2015-12-29,11125.522362709045,11000
2015-12-30,11044.322716712952,11000
2015-12-31,11935.862114906311,12000
2016-01-04,11770.802422523499,12000
2016-01-05,11791.592537879944,12000
2016-01-06,11644.172768592834,12000
2016-01-07,11364.45261478424,12000
2016-01-08,11245.38265323639,12000
2016-01-11,11246.642922401428,12000
2016-01-12,11338.62238407135,12000
2016-01-13,11065.20261478424,12000
2016-01-14,11780.96267414093,12000
2016-01-15,10698.244721412659,12000
2016-01-19,10743.627362251282,12000
2016-01-20,10646.377362251282,12000
2016-01-21,10685.276768684387,12000
2016-01-22,11605.912377357483,12000
2016-01-25,11083.354632377625,12000
2016-01-26,11399.74211025238,12000
2016-01-27,10551.72273349762,12000
2016-01-28,10967.95261478424,12000
2016-01-29,12682.414988517761,13000
2016-02-01,12754.19752073288,13000
2016-02-02,11944.88609457016,13000
2016-02-03,11775.985450267792,13000
2016-02-04,11754.873272418976,13000
2016-02-05,10545.82940864563,13000
2016-02-08,10064.464666366577,13000
2016-02-09,10067.414846420288,13000
2016-02-10,10187.080139875412,13000
2016-02-11,10162.860310316086,13000
2016-02-12,10595.934860944748,13000
2016-02-16,11301.103447914124,13000
2016-02-17,12081.773962497711,13000
2016-02-18,11671.493538618088,13000
2016-02-19,11792.5845348835,13000
2016-02-22,12349.597411632538,13000
2016-02-23,11734.177998542786,13000
2016-02-24,12083.199665307999,13000
