Date,Total_Value,Cash_Accumulated
2011-01-03,0.0,0
2011-01-04,0.0,0
2011-01-05,0.0,0
2011-01-06,0.0,0
2011-01-07,0.0,0
2011-01-10,0.0,0
2011-01-11,0.0,0
2011-01-12,0.0,0
2011-01-13,0.0,0
2011-01-14,0.0,0
2011-01-18,0.0,0
2011-01-19,0.0,0
2011-01-20,0.0,0
2011-01-21,0.0,0
2011-01-24,0.0,0
2011-01-25,0.0,0
2011-01-26,0.0,0
2011-01-27,0.0,0
2011-01-28,0.0,0
2011-01-31,1000.0,1000
2011-02-01,1014.7200317382812,1000
2011-02-02,1013.1199951171875,1000
2011-02-03,1015.52001953125,1000
2011-02-04,1018.0800170898438,1000
2011-02-07,1024.1600341796875,1000
2011-02-08,1028.6400146484375,1000
2011-02-09,1026.2400512695312,1000
2011-02-10,1026.5599975585938,1000
2011-02-11,1032.6400146484375,1000
2011-02-14,1035.0400390625,1000
2011-02-15,1031.52001953125,1000
2011-02-16,1037.760009765625,1000
2011-02-17,1041.4400024414062,1000
2011-02-18,1043.0400390625,1000
2011-02-22,1022.8800048828125,1000
2011-02-23,1017.4400024414062,1000
2011-02-24,1016.4800415039062,1000
2011-02-25,1026.8800048828125,1000
2011-02-28,2032.6400146484375,2000
2011-03-01,1999.3599853515625,2000
2011-03-02,2004.800048828125,2000
2011-03-03,2037.760009765625,2000
2011-03-04,2023.3599853515625,2000
2011-03-07,2006.4000244140625,2000
2011-03-08,2024.320068359375,2000
2011-03-09,2022.080078125,2000
2011-03-10,1986.56005859375,2000
2011-03-11,1999.3599853515625,2000
2011-03-14,1988.1600341796875,2000
2011-03-15,1967.0400390625,2000
2011-03-16,1931.2000732421875,2000
2011-03-17,1954.239990234375,2000
2011-03-18,1962.239990234375,2000
2011-03-21,1990.7200927734375,2000
2011-03-22,1984.0,2000
2011-03-23,1990.080078125,2000
2011-03-24,2008.0,2000
2011-03-25,2005.1199951171875,2000
2011-03-28,2000.9600830078125,2000
2011-03-29,2013.4400634765625,2000
2011-03-30,2026.56005859375,2000
2011-03-31,3024.0,3000
2011-04-01,3037.4401245117188,3000
2011-04-04,3038.8800659179688,3000
2011-04-05,3038.8800659179688,3000
2011-04-06,3047.5200805664062,3000
2011-04-07,3042.2400512695312,3000
2011-04-08,3031.2000732421875,3000
2011-04-11,3021.1201171875,3000
2011-04-12,3000.0,3000
2011-04-13,3000.9600219726562,3000
2011-04-14,3001.4401245117188,3000
2011-04-15,3011.5200805664062,3000
2011-04-18,2979.840087890625,3000
2011-04-19,2997.6000366210938,3000
2011-04-20,3036.4801025390625,3000
2011-04-21,3049.4401245117188,3000
2011-04-25,3046.56005859375,3000
2011-04-26,3072.0,3000
2011-04-27,3091.2000732421875,3000
2011-04-28,3100.8001098632812,3000
2011-04-29,4109.440124511719,4000
2011-05-02,4100.479919433594,4000
2011-05-03,4087.6801147460938,4000
2011-05-04,4060.7999877929688,4000
2011-05-05,4026.2399291992188,4000
2011-05-06,4044.7999877929688,4000
2011-05-09,4060.7999877929688,4000
2011-05-10,4093.4401245117188,4000
2011-05-11,4051.2001342773438,4000
2011-05-12,4072.3200073242188,4000
2011-05-13,4037.7599487304688,4000
2011-05-16,4013.4401245117188,4000
2011-05-17,4012.7999877929688,4000
2011-05-18,4049.2799682617188,4000
2011-05-19,4054.4000854492188,4000
2011-05-20,4028.1600952148438,4000
2011-05-23,3981.4401245117188,4000
2011-05-24,3978.2399291992188,4000
2011-05-25,3991.0399780273438,4000
2011-05-26,4006.4000854492188,4000
2011-05-27,4023.6801147460938,4000
2011-05-31,5062.719909667969,5000
2011-06-01,4950.379997253418,5000
2011-06-02,4944.640022277832,5000
2011-06-03,4897.080184936523,5000
2011-06-06,4845.420097351074,5000
2011-06-07,4838.85994720459,5000
2011-06-08,4819.180122375488,5000
2011-06-09,4856.080184936523,5000
2011-06-10,4788.020034790039,5000
2011-06-13,4791.332058489323,5000
2011-06-14,4969.461415469646,5000
2011-06-15,4697.960347235203,5000
2011-06-16,4632.406831145287,5000
2011-06-17,4597.971029996872,5000
2011-06-20,4658.896579325199,5000
2011-06-21,4969.461415469646,5000
2011-06-22,4857.552829325199,5000
2011-06-23,4991.971506297588,5000
